1,-22.314635856318812
2,-130.2370739798369
3,-127.49656881493382
4,-124.62101990964932
5,-126.277871673124
6,-127.80370204128573
7,-127.7016660455769
8,-127.05240506067517
9,-127.21029855639239
10,-127.29611215624132
11,-126.98139081821893
12,-128.1043114152161
13,-127.45523712390184
14,-126.30639606741939
15,-125.8304638903892
16,-129.05486001504855
17,-126.18428637152965
18,-127.37790031007803
19,-129.35672221456917
20,-126.89407069718351
21,-128.72540932682207
22,-126.62027068235174
23,-127.18153006263978
24,-129.13055246108473
25,-127.47019166681852
26,-126.81053805109352
27,-127.20869456951266
28,-127.8584796451688
29,-127.60838297517495
30,-127.49004295448597
31,-126.7012193030663
32,-127.36362924374417
33,-126.62157577182326
34,-126.96179927325917
35,-125.94700640563653
36,-126.81171926908546
37,-126.60710091675614
38,-128.98633000968616
39,-127.59148069240959
40,-126.05754654220758
41,-126.98613037878111
42,-129.36689280532892
43,-127.91652709524259
44,-126.35015955108474
45,-130.31508669873136
46,-129.21736581347346
47,-127.1529356720356
48,-127.20658499006404
49,-128.13890549401034
50,-129.33746417474788
51,-127.54455565893261
52,-126.99795783998505
53,-127.65325064162846
54,-127.4706436748088
55,-128.30838683174656
56,-126.5753781575167
57,-127.48315507890403
58,-126.69800279345753
59,-126.39569552149283
60,-127.35245814019174
61,-127.34496467703104
62,-126.64463741503648
63,-125.48967331013054
64,-127.1091021079132
65,-128.81780812637672
66,-126.46416296660999
67,-127.43660100476487
68,-128.3425268770339
69,-127.24838355091757
70,-127.55756324535942
71,-127.40940380744762
72,-126.82896279830113
73,-127.38091063517348
74,-126.70479766932633
75,-127.67828236580044
76,-125.06669860987186
77,-127.57360890948479
78,-125.79353620703574
79,-126.54858736605087
80,-127.25343835688494
81,-127.17757129692025
82,-127.54239337666328
83,-126.78986241813237
84,-127.53165944826264
85,-126.67726871916842
86,-128.56194433708072
87,-127.2622542020881
88,-127.02145514402679
89,-127.26222255302496
90,-126.90101210473254
91,-126.81495752198738
92,-127.45198194437377
